scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Hippodonta costulata	Species	614201	Hippodonta	447738	(Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Hippodonta - [Species] Hippodonta costulata
Hippodonta lueneburgensis	Species	614202	Hippodonta	447738	(Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	accepted	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Hippodonta - [Species] Hippodonta lueneburgensis
Hippodonta subcostulata	Species	614203	Hippodonta	447738	(Hustedt) Lange-Bertalot, Metzeltin & Witkowski, 1996	alternate representation	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Hippodonta - [Species] Hippodonta subcostulata
Navicula symmetrica	Species	614247	Navicula	149142	Patrick, 1944	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Naviculaceae - [Genus] Navicula - [Species] Navicula symmetrica
Pinnularia biceps	Species	614288	Pinnularia	149208	W.Gregory, 1856	accepted	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia biceps
Sphaerozosma filiforme	Species	614342	Sphaerozosma	577678	Ralfs, 1848	unaccepted	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Desmidiaceae	Sphaerozosma	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Infrakingdom] Streptophyta - [Phylum (Division)] Charophyta - [Class] Conjugatophyceae - [Order] Desmidiales - [Family] Desmidiaceae - [Genus] Sphaerozosma - [Species] Sphaerozosma filiforme
Spirogyra calospora	Species	614347	Spirogyra	577679	Cleve, 1868	accepted	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Spirogyra	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Infrakingdom] Streptophyta - [Phylum (Division)] Charophyta - [Class] Conjugatophyceae - [Order] Zygnematales - [Family] Zygnemataceae - [Genus] Spirogyra - [Species] Spirogyra calospora
Astasia klebsii	Species	614373	Astasia	163791	Lemmermann, 1910	accepted	Protozoa	Euglenozoa	Euglenoidea	Eutreptiida	Astasiaceae	Astasia	[Class] Euglenoidea - [Subclass] Euglenia - [Order] Eutreptiida - [Family] Astasiaceae - [Genus] Astasia - [Species] Astasia klebsii
Cosmarium formosulum	Species	614439	Cosmarium	478557	Hoff, 1888	accepted	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Desmidiaceae	Cosmarium	[] Biota - [Kingdom] Plantae - [Subkingdom] Viridiplantae - [Infrakingdom] Streptophyta - [Phylum (Division)] Charophyta - [Class] Conjugatophyceae - [Order] Desmidiales - [Family] Desmidiaceae - [Genus] Cosmarium - [Species] Cosmarium formosulum
Fischerella ambigua	Species	614448	Fischerella	600873	(Kützing ex Bornet & Flahault) Gomont, 1895	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Nostocales	Hapalosiphonaceae	Fischerella	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Nostocophycideae - [Order] Nostocales - [Family] Hapalosiphonaceae - [Genus] Fischerella - [Species] Fischerella ambigua
